category,metric,value
file_analysis,files_created,1
file_analysis,files_modified,0
file_analysis,new_adapter_loc,203
file_analysis,avg_existing_loc,190.7
file_analysis,loc_ratio,1.06
interface,subclass,PASS
interface,abstract_implemented,11/11
interface,instantiation,PASS
interface,registry_contains_simdrone,PASS
interface,registered_count,4
interface,factory_correct_type,PASS
integration,drones_managed,4
integration,connect_ok,4/4
integration,takeoff_ok,4/4
integration,land_ok,4/4
integration,simdrone_position,"(0.0, 50.0, 0.0)"
integration,simdrone_yaw,90.0
integration,simdrone_battery,93
integration,simdrone_commands_sent,10
integration,all_drones_responded,PASS
backward_compat,three_drone_workflow,PASS
backward_compat,originals_intact,PASS
effort,rate_low_loc_per_hour,15
effort,rate_mid_loc_per_hour,25
effort,rate_high_loc_per_hour,35
effort,implementation_hours,8.120
effort,implementation_hours_low,5.800
effort,implementation_hours_high,13.533
effort,registration_seconds,0.50
effort,test_runtime_seconds,6.118
effort,extensible_total_hours,8.122
effort,extensible_total_hours_low,5.802
effort,extensible_total_hours_high,13.535
effort,hypothetical_total_hours,12.920
effort,hypothetical_total_hours_low,9.229
effort,hypothetical_total_hours_high,21.533
effort,savings_hours,4.798
effort,savings_hours_low,3.427
effort,savings_hours_high,7.998
effort,savings_pct,37.1
effort,savings_pct_low,37.1
effort,savings_pct_high,37.1
